Gene	TCGA-OR-A5LC-01	TCGA-OR-A5JJ-01	TCGA-OR-A5K3-01	TCGA-OR-A5KT-01	TCGA-OR-A5LN-01	TCGA-OR-A5JA-01	TCGA-P6-A5OF-01	TCGA-OR-A5KW-01	TCGA-OR-A5JI-01	TCGA-OR-A5L3-01
A	3.629	2.765	1.947	3.69	1.801	3.113	3.281	2.288	1.629	1.773
B	0.8954	0.2751	0.389	0.4785	3.546	0.4082	0.1542	0.2301	0.5855	0.085
C	0	0	0.1497	0	2.42	0	0.0876	0	0	0
D	0.2366	0	0.2373	0	2.011	0.1696	0.3864	0	0.3052	0.0811
E	0.5069	0	0	0.187	2.067	0	0.0847	0	0.097	0
F	0.3222	0	0.2024	0.1783	1.492	0	0	0	0.2208	0
R	0.1042	0	0.1045	0.1355	1.382	0.1438	0	0.0697	0.0697	0
T	0.1958	0.1253	0.1015	0.1316	1.324	0	0	0.0676	0	0
Y	0.1094	0.1353	0	0	1.261	0	0.0638	0	0.2094	0
U	0	0.0586	0.093	0	1.056	0	0.054	0	0	0
